	median_Reporter intensity 1	median_Reporter intensity 2	median_Reporter intensity 3	median_Reporter intensity 4	median_Reporter intensity 5	median_Reporter intensity 6	median_Reporter intensity 7	median_Reporter intensity 8	median_Reporter intensity 9
Tb06.3A7.270	0.122663717	0.115976952	0.109416094	0.113494045	0.114402928	0.108587839	0.103687461	0.103861753	0.10559325
Tb06.3A7.960	0.109470347	0.104026262	0.11293868	0.112514522	0.110645775	0.116458859	0.110993412	0.113232542	0.110790085
Tb07.11L3.100;Tb927.7.2150	0.114146955	0.113583506	0.12049489	0.113689285	0.110897098	0.105890198	0.107034874	0.103841143	0.11148257
Tb08.27P2.165;Tb10.v4.0174	0.105650309	0.107037788	0.110273843	0.111147879	0.10839082	0.114460476	0.113258438	0.11506949	0.115459861
Tb09.v4.0043	0.126747614	0.094118002	0.087477592	0.093874494	0.116104676	0.125229755	0.134230849	0.077814883	0.144402161
Tb09.v4.0067	0.110263304	0.118572835	0.111561257	0.108314256	0.110706921	0.11236199	0.109857504	0.108632568	0.113151229
Tb09.v4.0090	0.109890082	0.119060225	0.109775113	0.112169464	0.111008653	0.105311644	0.111656824	0.110331975	0.110796024
Tb09.v4.0106;Tb927.5.286b;Tb11.v5.0210;Tb927.9.15980	0.093469045	0.095236939	0.102218086	0.113763828	0.114251064	0.111536416	0.125493677	0.12520297	0.118827938
Tb09.v4.0108;Tb927.9.15930	0.0949223	0.10580917	0.120642869	0.123261139	0.118808638	0.111329839	0.113851059	0.107875223	0.103499745
Tb09.v4.0191	0.117903971	0.109634755	0.109442518	0.108025854	0.108431763	0.11388191	0.113299474	0.108560076	0.116575314
Tb10.v4.0039;Tb927.10.4490	0.122113222	0.103644024	0.108178811	0.10835273	0.114421208	0.109970034	0.111908996	0.116209697	0.10901438
Tb10.v4.0052;Tb927.10.10360;Tb10.v4.0053	0.11134298	0.109703573	0.108010667	0.10775645	0.105241723	0.112250568	0.110289161	0.114085706	0.118744019
Tb10.v4.0055	0.128861508	0.118088946	0.105525975	0.10475492	0.112887529	0.114247817	0.111499345	0.114491763	0.089642198
Tb10.v4.0133	0.103153668	0.091588508	0.088553962	0.101828383	0.114057002	0.122989025	0.140978285	0.119354516	0.11749663
Tb10.v4.0150	0.104462199	0.115855158	0.110497885	0.107382337	0.110097982	0.110457679	0.117762965	0.11321422	0.114656249
Tb10.v4.0173	0.108871191	0.107260668	0.115724882	0.102581693	0.110590525	0.106283692	0.108721624	0.119774831	0.120190889
Tb11.01.2730	0.109441984	0.115072371	0.116762291	0.117738596	0.107783203	0.118750643	0.111867549	0.104903186	0.103849092
Tb11.02.5070b;Tb927.11.7212	0.103116961	0.108458998	0.111273526	0.112836904	0.113283691	0.11441978	0.113813863	0.112404021	0.1145638
Tb11.02.5105b;Tb11.02.5105	0.096838427	0.102470133	0.105353179	0.110425161	0.114833094	0.114131891	0.117534872	0.117598054	0.118960809
Tb11.02.5370b;Tb11.02.5370	0.108777085	0.11403257	0.108736037	0.112926373	0.109941722	0.108280294	0.112293524	0.11277179	0.109169236
Tb11.02.5380b;Tb11.02.5380	0.111267289	0.111932828	0.111856421	0.110405845	0.114234092	0.111184791	0.105350644	0.111948358	0.108756841
Tb11.02.5390b;Tb11.02.5390	0.123424754	0.112267643	0.114678959	0.111641307	0.111241313	0.1084944	0.10411937	0.109164833	0.104972141
Tb11.02.5400b;Tb11.02.5400;REV__Tb11.02.5400b;REV__Tb11.02.5400	0.109086121	0.111914842	0.114120884	0.111547034	0.110304864	0.110969083	0.109882823	0.110386272	0.111273546
Tb11.02.5410b;Tb11.02.5410	0.113108655	0.104175454	0.109003616	0.110106473	0.108562268	0.114725844	0.112213773	0.111179212	0.116426104
Tb11.02.5420b;Tb11.02.5420	0.116897038	0.112631584	0.110997602	0.110630385	0.109147396	0.109213594	0.110182326	0.108410495	0.111619163
Tb11.0400;Tb927.11.7700;Tb11.0300	0.115135198	0.112468485	0.113622145	0.108986734	0.110852538	0.108241546	0.112820025	0.10642838	0.109822646
Tb11.0840;Tb927.11.720	0.11614424	0.114387856	0.113347219	0.111463483	0.108929551	0.109963752	0.108059617	0.112577107	0.109334617
Tb11.0870;Tb927.11.690	0.120550227	0.114326287	0.115799634	0.112308171	0.113431977	0.107825288	0.106611803	0.104024748	0.105121882
Tb11.1390;Tb927.11.1830	0.12108063	0.112685279	0.114324104	0.106279025	0.112175865	0.105807629	0.105234954	0.106617886	0.108048673
Tb11.1650;Tb10.v4.0225	0.11028081	0.10394423	0.109733639	0.106503846	0.1160688	0.112175737	0.12107112	0.113023166	0.117985324
Tb11.1780	0.107807691	0.113623293	0.111018976	0.110534875	0.11018432	0.111396035	0.113801644	0.110928493	0.110081636
Tb11.1790;Tb927.11.17840	0.11698288	0.108764129	0.110622293	0.109912041	0.111370514	0.111857776	0.109429223	0.109339655	0.113703225
Tb11.1810b;Tb11.1810;Tb11.v5.0839	0.126678561	0.111566949	0.118926091	0.11094545	0.115139123	0.109729767	0.095499438	0.109250442	0.095192347
Tb11.v5.0127;Tb11.0170	0.10864269	0.107240705	0.105904436	0.111913348	0.111412264	0.117838183	0.119452406	0.108577189	0.109018778
Tb11.v5.0174;Tb927.7.4930	0.113911261	0.115936239	0.117327958	0.110517041	0.11407059	0.107706076	0.10052714	0.109023738	0.104799125
Tb11.v5.0191;Tb927.10.5960	0.1182864	0.100517266	0.114541771	0.122028513	0.115665233	0.101041802	0.111842162	0.102623206	0.113453652
Tb11.v5.0194;Tb927.10.6000	0.114421367	0.103902828	0.113131019	0.104905675	0.113389972	0.109891755	0.116381915	0.108035042	0.116070466
Tb11.v5.0196;Tb927.10.6030	0.112782431	0.109875802	0.11115195	0.110449517	0.110200227	0.111796894	0.111161455	0.111109437	0.112565323
Tb11.v5.0201;Tb927.10.6090	0.106916589	0.109217948	0.107793531	0.109958453	0.108601207	0.111969542	0.112030383	0.115390458	0.115829997
Tb11.v5.0325	0.114476996	0.107464227	0.106758904	0.112959206	0.106730672	0.113315926	0.111541099	0.112823016	0.109759029
Tb11.v5.0326	0.131731659	0.116126558	0.115700868	0.109704792	0.108026532	0.108459118	0.107406806	0.110668935	0.107230723
Tb11.v5.0365	0.113258012	0.113583164	0.119758666	0.1086648	0.110459995	0.10744924	0.108655264	0.101804798	0.107526904
Tb11.v5.0366	0.10873451	0.114295339	0.109757702	0.108114436	0.10690961	0.113476994	0.11377905	0.108604357	0.11748403
Tb11.v5.0394	0.12445652	0.130575148	0.121974298	0.115227382	0.107997983	0.106942031	0.097005746	0.10222235	0.095973456
Tb11.v5.0422;Tb927.10.4600	0.102701904	0.112209387	0.116882763	0.117299408	0.112196978	0.113086147	0.110563228	0.104664522	0.10763348
Tb11.v5.0482;Tb927.11.2720	0.114373119	0.108160655	0.108949515	0.111259362	0.109217497	0.108076174	0.114556407	0.112153502	0.122122479
Tb11.v5.0489;Tb11.0050	0.118400962	0.115923613	0.112635178	0.113611064	0.10839943	0.111253941	0.11106217	0.109158124	0.104614359
Tb11.v5.0515;Tb927.10.15300	0.08955186	0.108986105	0.108286913	0.117810239	0.113467763	0.111933935	0.122327612	0.110509733	0.127928272
Tb11.v5.0517;Tb927.11.4050	0.123209133	0.117826363	0.11964655	0.108484727	0.106920348	0.106794667	0.100945383	0.112496523	0.105448488
Tb11.v5.0524;Tb927.1.790	0.090176817	0.100669874	0.110550518	0.112171349	0.103587403	0.112002232	0.117463422	0.099777943	0.122640117
Tb11.v5.0528;Tb927.10.590	0.11586904	0.103074867	0.120223687	0.113720148	0.110477846	0.10142182	0.109578594	0.101866559	0.108325206
Tb11.v5.0537;Tb927.11.9920;Tb11.01.1680.v5	0.111606345	0.108400475	0.108213889	0.10670466	0.110553683	0.112712047	0.114599728	0.114627437	0.112707414
Tb11.v5.0553	0.138931187	0.108848857	0.113306189	0.105379797	0.111778981	0.106724361	0.100418621	0.111303145	0.106148839
Tb11.v5.0567;Tb927.6.140;Tb927.4.190	0.102734389	0.107574729	0.105142847	0.116484288	0.105428977	0.119150374	0.123175089	0.103230258	0.106200366
Tb11.v5.0593;Tb927.10.12910	0.096097655	0.129731854	0.117247744	0.106410161	0.1089951	0.103273765	0.109774417	0.113353527	0.115115766
Tb11.v5.0594	0.120865585	0.117420167	0.115448389	0.113653864	0.114591273	0.113073586	0.10028381	0.112579315	0.100828953
Tb11.v5.0596;Tb927.10.4940	0.10677471	0.109734585	0.108371885	0.112380266	0.1094178	0.114506965	0.111807082	0.115320175	0.114030652
Tb11.v5.0616;Tb927.7.6970	0.110476228	0.107229487	0.106005004	0.110734993	0.108423671	0.114586763	0.114116519	0.112307239	0.114338726
Tb11.v5.0618;Tb927.6.900	0.108838925	0.137932181	0.124628701	0.112065558	0.104130677	0.105676796	0.103234597	0.109569878	0.10506943
Tb11.v5.0620;Tb927.7.7290	0.103613952	0.109160163	0.113275752	0.11022229	0.113889024	0.115295943	0.11795659	0.113749689	0.105789296
Tb11.v5.0624	0.118906628	0.111017163	0.110160404	0.109777653	0.109894208	0.11106954	0.110360376	0.109084067	0.107847298
Tb11.v5.0627;Tb927.10.13680	0.093458998	0.103766968	0.112260123	0.112365653	0.115328398	0.114361354	0.123103746	0.116417836	0.114750151
Tb11.v5.0638;Tb927.10.1040;Tb927.10.1050;Tb927.10.1030	0.10917311	0.099657124	0.107353608	0.113349416	0.109441247	0.115407641	0.117625451	0.116511422	0.11566328
Tb11.v5.0651	0.098585191	0.118833553	0.101093199	0.118551072	0.105425211	0.115941755	0.114473982	0.12253774	0.104558282
Tb11.v5.0660;Tb927.2.2190	0.112312268	0.098554452	0.103199605	0.111296805	0.10981694	0.111856594	0.114479999	0.114727189	0.11610964
Tb11.v5.0662;Tb11.v5.1009	0.116740362	0.104894315	0.115392421	0.11047784	0.118372125	0.105157281	0.106169493	0.108022595	0.113578781
Tb11.v5.0674;Tb927.10.11360	0.106798499	0.118623908	0.106429383	0.113728685	0.106986484	0.111500063	0.114140817	0.119596716	0.102195441
Tb11.v5.0692;Tb927.5.3000	0.103328675	0.110594489	0.106985231	0.11113203	0.110559326	0.108096175	0.116159399	0.11630398	0.113343071
Tb11.v5.0697;Tb927.3.2090	0.107977402	0.108050917	0.104404835	0.112008934	0.106557392	0.116323973	0.1171736	0.114970031	0.115134866
Tb11.v5.0713	0.116370987	0.112885615	0.111037543	0.109887828	0.110401603	0.109790021	0.112247371	0.109140119	0.109362888
Tb11.v5.0717;Tb927.10.7890	0.100281407	0.1111696	0.128385279	0.123255892	0.110794418	0.117076207	0.099324372	0.098521345	0.091572568
Tb11.v5.0727;Tb927.10.8590	0.107174089	0.10810316	0.112005384	0.116730299	0.112244921	0.117494381	0.111086524	0.115596753	0.104115641
Tb11.v5.0775;Tb927.10.7560	0.110052188	0.119504086	0.112424518	0.107219259	0.108284947	0.111002342	0.110584768	0.116844607	0.10408329
Tb11.v5.0800;Tb927.2.1100	0.111770244	0.110275057	0.108494475	0.110934728	0.112527821	0.111738716	0.11243191	0.11356975	0.114309199
Tb11.v5.0807;Tb927.9.13510	0.118919717	0.110083879	0.107862866	0.11019314	0.107307615	0.111679187	0.112962866	0.111010563	0.111814302
Tb11.v5.0831;Tb927.3.3400	0.110619436	0.108789031	0.10859246	0.113596634	0.115551704	0.113740664	0.111655572	0.115860758	0.112096743
Tb11.v5.0836;Tb927.4.4960;Tb927.8.7460	0.100343187	0.101855838	0.109233784	0.113406935	0.113855428	0.115897725	0.112708062	0.118046544	0.114801227
Tb11.v5.0841;Tb927.7.910	0.107734165	0.109396294	0.111143857	0.111495241	0.110620951	0.111608929	0.112582877	0.110531489	0.112415162
Tb11.v5.0853;Tb927.10.10020	0.125869378	0.113774161	0.113956342	0.111843806	0.11174537	0.109241049	0.104172581	0.104152385	0.106194073
Tb11.v5.0971;Tb927.4.2950	0.107599472	0.094086642	0.10933555	0.108841587	0.127267	0.115511148	0.122298988	0.111646477	0.115297879
Tb11.v5.0996;Tb11.1220;Tb927.10.15250	0.121618678	0.109439131	0.108564936	0.105301017	0.107853606	0.109880348	0.111399682	0.111745923	0.113789188
Tb11.v5.1013;Tb927.10.11640	0.131589616	0.119041374	0.119107986	0.110276508	0.110844766	0.104133883	0.099469834	0.105009445	0.100710278
Tb11.v5.1016;Tb927.11.1490;Tb11.v5.0784	0.127760332	0.044309181	0.100044721	0.115082668	0.067129991	0.110614089	0.110783883	0.116143813	0.208131321
Tb11.v5.1020	0.117670096	0.110113711	0.107271293	0.11390458	0.105726827	0.108196426	0.114104841	0.113092223	0.108720662
Tb11.v5.1039;Tb927.10.2990	0.113565636	0.113499715	0.109891801	0.11060368	0.107720676	0.112124522	0.112605589	0.111174009	0.110340169
Tb927.1.1000	0.125941418	0.115452989	0.113595123	0.110850533	0.109407732	0.106996231	0.104640135	0.107753798	0.104188732
Tb927.1.1010	0.106376186	0.115707761	0.10383035	0.106893289	0.10792495	0.11344794	0.115158477	0.113836363	0.116844034
Tb927.1.1030;Tb11.v5.0436	0.110912513	0.115800154	0.114248207	0.111003057	0.111210016	0.111043287	0.110536758	0.107423771	0.110287137
Tb927.1.1050;Tb11.v5.0536	0.109485255	0.111893603	0.109234924	0.110324939	0.11084807	0.106394807	0.115159429	0.110650895	0.115929325
Tb927.1.1060	0.119607353	0.111255361	0.111161448	0.111798793	0.114218718	0.110189848	0.107896964	0.108327977	0.108027986
Tb927.1.1080	0.103832154	0.092822163	0.113311337	0.099116143	0.138844489	0.112358776	0.123582029	0.085766267	0.109717637
Tb927.1.1100	0.109533582	0.126346208	0.117332456	0.114274946	0.109387843	0.104598673	0.103059541	0.107264334	0.113496587
Tb927.1.1120	0.110516803	0.098495686	0.109070566	0.111304593	0.111283441	0.114429821	0.114427841	0.111037738	0.120700934
Tb927.1.1130;Tb11.v5.0384	0.132054963	0.112990298	0.116368452	0.109342343	0.11548605	0.104658356	0.097445656	0.106934773	0.10387199
Tb927.1.1150	0.108436638	0.113458308	0.118299162	0.115502212	0.116960957	0.109320874	0.107011427	0.11152806	0.103511196
Tb927.1.1200	0.09700519	0.102794997	0.106985292	0.112829389	0.112402141	0.113606191	0.121314851	0.115209849	0.119145428
Tb927.1.120;Tb11.v5.0495	0.114231711	0.115871236	0.111695366	0.110306745	0.109271519	0.109578395	0.108307301	0.110111923	0.108142845
Tb927.1.1210	0.099008213	0.10835301	0.103218377	0.109658706	0.108669779	0.112227507	0.115896016	0.120733163	0.126911696
Tb927.1.1220	0.094860063	0.111652433	0.109145254	0.110668077	0.107576817	0.114783155	0.114410955	0.116407339	0.117381276
Tb927.1.1230	0.109524885	0.120457592	0.123854044	0.110567898	0.104979864	0.105261324	0.106788736	0.120771674	0.103993041
Tb927.1.1240;Tb11.v5.0356	0.107442383	0.116304254	0.111542603	0.110417201	0.109050501	0.109354592	0.110106	0.10916448	0.112907258
Tb927.1.1270;Tb11.v5.0357	0.090125467	0.104163873	0.107785184	0.115428586	0.113015208	0.118763336	0.120510297	0.115715772	0.114390854
Tb927.1.1310;Tb11.v5.0372	0.11150025	0.111059865	0.115464881	0.110786696	0.109420088	0.107562223	0.110129017	0.107892148	0.106275582
Tb927.1.1330;Tb11.v5.0371	0.117336236	0.112191599	0.111372195	0.110759673	0.11000731	0.110003795	0.106947641	0.112285974	0.110668357
Tb927.1.1340	0.121288396	0.117869422	0.116919922	0.110228216	0.109845723	0.109296148	0.102371553	0.105382056	0.099951182
Tb927.1.1370;Tb11.v5.0391	0.119029118	0.114006221	0.115822095	0.108151456	0.113114756	0.109856423	0.108119411	0.107145529	0.105471078
Tb927.1.1380;Tb11.v5.0390	0.112599045	0.112026829	0.112269341	0.112464614	0.112736711	0.110840227	0.110796106	0.109718194	0.1075533
Tb927.1.1390	0.137050924	0.114615428	0.116791502	0.103128435	0.115721827	0.104735707	0.098835311	0.106366669	0.101964968
Tb927.1.1400	0.105968587	0.111247007	0.108973955	0.113188088	0.110944455	0.1109677	0.114959947	0.111090337	0.111526188
Tb927.1.1420	0.112897784	0.10979746	0.111617847	0.11117963	0.110137083	0.111323902	0.110929362	0.116005131	0.107976068
Tb927.1.1470;Tb11.v5.0315	0.114824568	0.110316469	0.109401282	0.108435813	0.10886541	0.110852351	0.11143234	0.11140659	0.114073056
Tb927.1.1530;Tb11.v5.0534	0.121305155	0.108256425	0.112084184	0.106841607	0.110848347	0.103168548	0.113514863	0.116181886	0.111862176
Tb927.1.1540	0.105038178	0.110953267	0.108373837	0.11048426	0.107374795	0.113887053	0.115740007	0.113297923	0.115391432
Tb927.1.1550	0.106767272	0.110432592	0.103781031	0.11523064	0.113673971	0.112915936	0.116822116	0.113920177	0.114287148
Tb927.1.1560;Tb11.v5.0464	0.109894964	0.112060165	0.110261989	0.112720135	0.110320361	0.110850169	0.110725068	0.111736695	0.112357253
Tb927.1.1580	0.123227611	0.116961401	0.10998232	0.107995365	0.109264125	0.107109838	0.107377895	0.106868007	0.108546129
Tb927.1.1600;Tb11.v5.0688	0.101463492	0.117156463	0.117242269	0.117669077	0.111214523	0.110078186	0.108163231	0.109625191	0.110363102
Tb927.1.1610	0.118031363	0.105714758	0.111794364	0.110661012	0.112160931	0.111278657	0.109581031	0.113136319	0.112274296
Tb927.1.1620	0.104891149	0.110000783	0.110550827	0.111824576	0.111183142	0.114542158	0.113848588	0.111800866	0.112464216
Tb927.1.1630	0.108735148	0.10413714	0.107521829	0.111468735	0.110887721	0.110747803	0.117230905	0.115102168	0.119096081
Tb927.1.1640;Tb11.v5.0426	0.144914988	0.119522188	0.125317228	0.109589276	0.117731895	0.106768377	0.094141205	0.091683298	0.09354676
Tb927.1.1670;Tb11.v5.0887	0.120492746	0.115550676	0.114585331	0.109884968	0.108959391	0.108299371	0.104865546	0.10904047	0.106427621
Tb927.1.1680	0.112161956	0.115773549	0.112043623	0.112611317	0.108166166	0.098952254	0.106419652	0.117851747	0.11601973
Tb927.1.1690	0.110602659	0.110829699	0.11007744	0.111199904	0.108416631	0.109327536	0.1120651	0.112521751	0.113594573
Tb927.1.1700	0.102529042	0.108358596	0.107421765	0.113424134	0.110617414	0.114254226	0.113438149	0.116368433	0.113993106
Tb927.1.1710	0.127339842	0.113366683	0.116971914	0.108246665	0.109345998	0.107156083	0.104847093	0.10843131	0.103205136
Tb927.1.1720	0.109353371	0.113311331	0.110310846	0.111812932	0.108684868	0.110234761	0.111452432	0.111963707	0.112212109
Tb927.1.1730	0.104473018	0.11695209	0.11072488	0.112374264	0.108652738	0.110387437	0.111754803	0.109299913	0.115871499
Tb927.1.1770	0.1119877	0.109118214	0.115618756	0.106588534	0.11262407	0.109920254	0.108724013	0.109789645	0.11143098
Tb927.1.1790	0.119515847	0.099632944	0.105117175	0.111232099	0.110219309	0.112268032	0.110091295	0.114959903	0.112489035
Tb927.1.1880	0.128464518	0.10880446	0.109751555	0.104331939	0.115399866	0.103320534	0.112366417	0.107198242	0.114591419
Tb927.1.1890	0.107726294	0.104635229	0.110538117	0.113500529	0.119189081	0.113868593	0.11010698	0.112332184	0.104609204
Tb927.1.190	0.155883953	0.111931211	0.119764385	0.104862443	0.114631155	0.103445985	0.092775073	0.099787973	0.091038962
Tb927.1.1910	0.105439048	0.108046834	0.112656541	0.10997003	0.111847374	0.112693667	0.111200291	0.108897898	0.112742457
Tb927.1.1930	0.105800718	0.111455699	0.109173854	0.111403205	0.110680016	0.111142804	0.1129048	0.111673501	0.113469885
Tb927.1.1960	0.104864769	0.107720887	0.107385077	0.110829476	0.109917267	0.111174537	0.114875985	0.114302402	0.116916759
Tb927.1.2100	0.118476229	0.112972776	0.110860314	0.110342187	0.106480046	0.11073262	0.11045358	0.108452277	0.110883563
Tb927.1.2110	0.108939663	0.113303818	0.102306344	0.110839805	0.104592806	0.112779154	0.113641293	0.114367137	0.112590225
Tb927.1.2120	0.11392273	0.107232219	0.11004284	0.112225992	0.110988683	0.11295482	0.109048798	0.111854344	0.111259721
Tb927.1.2190	0.125148808	0.115711039	0.110381182	0.106733747	0.107536091	0.107560388	0.101610148	0.110743666	0.108024545
Tb927.1.220;Tb927.1.180	0.089402435	0.088986361	0.089113324	0.112708248	0.102149852	0.126260362	0.13886035	0.10949057	0.143028475
Tb927.1.2210	0.108674005	0.110941207	0.109784264	0.110917649	0.110488673	0.110848588	0.110909544	0.111031564	0.119034434
Tb927.1.2260	0.130111722	0.119837097	0.113451935	0.110003683	0.110665016	0.106210317	0.103418721	0.103919343	0.103743627
Tb927.1.2390;Tb927.1.2370;Tb927.1.2350;Tb927.1.2330;Tb11.v5.0469;Tb927.1.2410	0.114077739	0.118195839	0.113744944	0.106716673	0.110983349	0.108021928	0.111944439	0.107268863	0.109691877
Tb927.1.240	0.117576033	0.108280116	0.108511477	0.109116886	0.111270905	0.11361722	0.11162122	0.107195228	0.114058768
Tb927.1.2400;Tb927.1.2380;Tb927.1.2360;Tb927.1.2340	0.107928363	0.115354656	0.111966486	0.10737848	0.108565963	0.109567559	0.113486107	0.109896372	0.113664491
Tb927.1.2550;Tb927.1.2530;Tb927.1.2510;Tb927.1.2490;Tb927.1.2470;Tb927.1.2450;Tb927.1.2430	0.104356499	0.102714991	0.105535278	0.108843389	0.116073922	0.120999903	0.117747643	0.114399247	0.109674996
Tb927.1.2570	0.114817349	0.113959357	0.109877922	0.108985762	0.110057519	0.109890027	0.111258195	0.109817384	0.110059296
Tb927.1.2580	0.106128461	0.12290948	0.115018945	0.109112199	0.111455555	0.105251632	0.107876298	0.10973938	0.109738834
Tb927.1.2600	0.033162244	0.05177005	0.07469136	0.100239494	0.131959986	0.163271113	0.169774031	0.149975916	0.118924921
Tb927.1.2670	0.10658443	0.109049755	0.108170456	0.110486123	0.110731436	0.114522736	0.11462509	0.113067179	0.113551404
Tb927.1.2730	0.103429982	0.110307429	0.116587103	0.117230848	0.114927869	0.112019077	0.110448299	0.108243362	0.108801624
Tb927.1.2750	0.105794789	0.112641834	0.110987519	0.111660712	0.10978019	0.111379989	0.11277383	0.112775826	0.111059981
Tb927.1.2770	0.105440571	0.10494917	0.108494629	0.107611729	0.118637049	0.109684936	0.104922358	0.11391957	0.11223349
Tb927.1.2970	0.120860673	0.109640885	0.109647385	0.108370855	0.111323714	0.109586966	0.109052041	0.109206491	0.111455654
Tb927.1.2980	0.120064928	0.109393472	0.122377158	0.10907409	0.116150567	0.106409899	0.091913482	0.116947559	0.114326661
Tb927.1.2990	0.099456872	0.106751153	0.105791011	0.112168805	0.108966549	0.117429924	0.119312718	0.113083947	0.116731954
Tb927.1.3000	0.110275662	0.115658811	0.111931638	0.113148659	0.110011163	0.110282101	0.109238198	0.111097326	0.110988332
Tb927.1.3010	0.108849293	0.111175244	0.108189723	0.110659548	0.109039165	0.110404003	0.110365713	0.115636652	0.114871227
Tb927.1.3030	0.106987228	0.116524508	0.11102727	0.111986752	0.11248063	0.112002329	0.1073331	0.111891313	0.113105351
Tb927.1.3040	0.111677029	0.10627399	0.112789156	0.107818667	0.114918092	0.110273682	0.114251536	0.112016335	0.118279633
Tb927.1.3050	0.102971586	0.113029385	0.109403564	0.110668551	0.110521784	0.111814757	0.114966357	0.112863394	0.113826986
Tb927.1.3070	0.097343477	0.098202468	0.103682923	0.114252786	0.108768433	0.118895882	0.118166915	0.120059997	0.11766337
Tb927.1.3110	0.113756574	0.112546246	0.112777512	0.108947074	0.110696622	0.110693447	0.112386836	0.108986047	0.109538464
Tb927.1.3150	0.096382093	0.114013794	0.113365261	0.119744533	0.11261794	0.11276961	0.113765603	0.104180634	0.113160527
Tb927.1.3170	0.108300614	0.104450683	0.108001137	0.114293526	0.105398047	0.114478433	0.109593347	0.114971651	0.115602601
Tb927.1.3180	0.105474789	0.107389812	0.107733316	0.110030059	0.112475998	0.11245369	0.113197608	0.113339691	0.118019191
Tb927.1.3200	0.115979307	0.111579364	0.113649317	0.110687759	0.110637523	0.111163829	0.110630454	0.109097286	0.113648047
Tb927.1.3220	0.109218636	0.109950104	0.111880999	0.111253479	0.110850235	0.113228546	0.114243014	0.111338045	0.112950066
Tb927.1.3230	0.107874128	0.120756248	0.115150956	0.111511012	0.111804248	0.109841558	0.109302705	0.112055285	0.104319488
Tb927.1.3250	0.107562268	0.106460347	0.107432498	0.111058484	0.111725862	0.111384467	0.114765826	0.115231575	0.116547078
Tb927.1.3260	0.115783501	0.11235124	0.110781477	0.108889304	0.112238063	0.109305458	0.111111329	0.110328742	0.110812845
Tb927.1.3270	0.116702287	0.110928074	0.113662533	0.107855073	0.109079012	0.10924714	0.103661079	0.112854213	0.106134094
Tb927.1.3280	0.119067806	0.113264947	0.121420738	0.106777656	0.113947715	0.108786046	0.106397497	0.108028103	0.103881141
Tb927.1.3290	0.104470913	0.110746585	0.11130996	0.113985577	0.109771357	0.112541803	0.111235587	0.111068567	0.109548073
Tb927.1.3300	0.114880881	0.111688957	0.108955125	0.107801678	0.109698162	0.109325815	0.114329894	0.11190549	0.116057062
Tb927.1.3310	0.106995991	0.124658122	0.119250973	0.116693985	0.107727753	0.109026358	0.107364271	0.099607205	0.106594108
Tb927.1.3390	0.112133919	0.114025646	0.10723871	0.11091017	0.108706353	0.109974653	0.110772979	0.109439747	0.113708303
Tb927.1.3400	0.111631143	0.101945522	0.112606566	0.109817702	0.115225007	0.115708544	0.114324135	0.109482274	0.109744106
Tb927.1.3410	0.106926007	0.112302051	0.114750784	0.111657387	0.111945551	0.111485913	0.113615492	0.112191714	0.113876775
Tb927.1.3450;Tb11.v5.0619	0.099532427	0.104748886	0.105362807	0.105905492	0.107779924	0.1141602	0.117189658	0.121986631	0.122879734
Tb927.1.3800	0.102314363	0.105332222	0.109903739	0.113565564	0.11346913	0.115122951	0.113665299	0.114194128	0.120803507
Tb927.1.3830	0.123521741	0.1138349	0.111292021	0.107989783	0.107109302	0.106332538	0.107323618	0.106986521	0.112861894
Tb927.1.3880	0.131159008	0.109281151	0.126435836	0.111187084	0.11472927	0.109819809	0.093136209	0.09778242	0.102076339
Tb927.1.3910	0.110359179	0.109313706	0.10970701	0.113030709	0.111714482	0.11314724	0.112814065	0.112746332	0.105860589
Tb927.1.3950	0.117229702	0.11418095	0.106499812	0.108992873	0.102712111	0.110075637	0.113144048	0.111443616	0.114179015
Tb927.1.4010	0.062468267	0.110458954	0.142500112	0.14559111	0.143667555	0.117379735	0.105147009	0.087034764	0.081648951
Tb927.1.4040	0.11033562	0.11375277	0.111772166	0.112864624	0.106495519	0.113971544	0.11227853	0.111755516	0.109671746
Tb927.1.4050	0.117757416	0.110532937	0.110299961	0.110861912	0.109402313	0.110166487	0.110563634	0.111252983	0.110285937
Tb927.1.4100	0.110778941	0.116832562	0.110674614	0.11161019	0.106767204	0.112112552	0.108962488	0.110978018	0.108987236
Tb927.1.4180	0.117319346	0.104500156	0.107372105	0.107966859	0.112217458	0.113436915	0.111516025	0.116371585	0.110932107
Tb927.1.4220	0.098654174	0.114628209	0.114330028	0.115876386	0.115274841	0.113347247	0.11361657	0.106475745	0.107607627
Tb927.1.4230	0.096295076	0.116996151	0.106679691	0.112284213	0.111829668	0.113732283	0.108066574	0.113181491	0.108564184
Tb927.1.4250	0.111620464	0.111983453	0.114178484	0.114483412	0.110108706	0.103706355	0.109981496	0.108752469	0.115185164
Tb927.1.4280	0.115507907	0.113091233	0.112852711	0.108378157	0.108164124	0.110564353	0.108628293	0.109637782	0.110886188
Tb927.1.4300	0.097494987	0.100321187	0.104798191	0.107986158	0.1130256	0.124074189	0.115390129	0.122806227	0.114172041
Tb927.1.4310	0.118443929	0.112214777	0.112048859	0.111286529	0.112275442	0.109927704	0.106394826	0.109470519	0.106189094
Tb927.1.4340	0.121820932	0.112046767	0.117313687	0.114423978	0.118098165	0.10945612	0.101769505	0.105650578	0.1014607
Tb927.1.4410	0.109976744	0.115418354	0.110398707	0.112714895	0.108997847	0.1104893	0.111015882	0.111814222	0.109663821
