	median_Reporter intensity 1	median_Reporter intensity 2	median_Reporter intensity 3	median_Reporter intensity 4	median_Reporter intensity 5	median_Reporter intensity 6	median_Reporter intensity 7	median_Reporter intensity 8	median_Reporter intensity 9
Tb927.11.13700	0.125719	0.11293565	0.120727319	0.120177993	0.111651278	0.105065632	0.099852458	0.100429367	0.101090301
Tb927.11.13710	0.090003608	0.112485332	0.111713121	0.117459542	0.11287943	0.114611952	0.114938686	0.111852519	0.114237185
Tb927.11.13730	0.092946807	0.108918421	0.111710485	0.11503613	0.113200291	0.116731143	0.117743756	0.11556536	0.111940122
Tb927.11.13740	0.13773663	0.120672747	0.118389057	0.111145935	0.110585175	0.104431614	0.099214771	0.09995756	0.09781178
Tb927.11.13750	0.114954152	0.114427289	0.112384994	0.110606611	0.111209986	0.109336274	0.109477541	0.105324099	0.113743462
Tb927.11.13760	0.108456767	0.110242221	0.114109366	0.112138538	0.1081626	0.111692642	0.110403573	0.111944678	0.110393472
Tb927.11.13780	0.113743759	0.109134484	0.111932815	0.110742591	0.114436392	0.110316362	0.112844484	0.106742407	0.111359025
Tb927.11.13790	0.101890132	0.106514102	0.107522741	0.112697309	0.1114148	0.110316617	0.113605876	0.114963237	0.118062058
Tb927.11.1380	0.099521969	0.106965021	0.107958317	0.114890265	0.114086088	0.112554166	0.11368985	0.107260301	0.114052928
Tb927.11.13810	0.119002799	0.112847015	0.112845606	0.109499938	0.112582431	0.110054499	0.107566153	0.109523606	0.108567877
Tb927.11.13820	0.109090328	0.110876403	0.112627956	0.110202559	0.110597117	0.109569874	0.110948973	0.112772331	0.111163135
Tb927.11.13830	0.113644132	0.114749183	0.113059993	0.112464642	0.114410889	0.109638948	0.106826256	0.106770597	0.105574948
Tb927.11.13840	0.107089649	0.102606486	0.107697602	0.11039502	0.109639576	0.114826221	0.112789155	0.113846844	0.120193196
Tb927.11.13870	0.108382026	0.110584365	0.110216762	0.112297228	0.110805793	0.111588974	0.113948841	0.109562399	0.114510929
Tb927.11.13880	0.087333553	0.101819038	0.106012097	0.103222362	0.11461091	0.115985988	0.125989565	0.113728205	0.122873663
Tb927.11.13890	0.114031384	0.110838711	0.111555978	0.109593739	0.112073647	0.110051446	0.111582694	0.110013932	0.111535341
Tb927.11.1390	0.123675326	0.116731452	0.11644905	0.113532315	0.113841526	0.107566659	0.101886367	0.10796849	0.096932972
Tb927.11.13900	0.111742612	0.108904407	0.113682387	0.106843822	0.113102521	0.1120512	0.113615357	0.110012793	0.115716427
Tb927.11.13910	0.109736827	0.10981709	0.117014471	0.105035693	0.113228465	0.104344509	0.110162561	0.109719984	0.115464191
Tb927.11.13920	0.101581029	0.110472102	0.110967125	0.113365215	0.10965184	0.114186688	0.116193791	0.111374908	0.111826588
Tb927.11.13930	0.104099971	0.107921697	0.112204347	0.111849355	0.112708686	0.111188376	0.117743804	0.113630464	0.112197313
Tb927.11.13950	0.114206965	0.108959165	0.108846246	0.110147846	0.109713597	0.111551999	0.109009356	0.116282148	0.110965279
Tb927.11.13970	0.118736991	0.110333015	0.113035511	0.107036128	0.110249363	0.109204189	0.112157504	0.111151313	0.108165111
Tb927.11.13980	0.089240164	0.098004573	0.111047871	0.115442897	0.12742104	0.118162364	0.120167468	0.112538636	0.110282362
Tb927.11.13990	0.090515299	0.100990769	0.102458074	0.109482047	0.109574921	0.117947919	0.119903897	0.124574443	0.117235205
Tb927.11.1400	0.122362297	0.115914434	0.114988526	0.110656756	0.111600308	0.108123643	0.104684099	0.109220909	0.101804874
Tb927.11.14010	0.11366453	0.115984567	0.111285058	0.108608169	0.106261896	0.118537115	0.107214789	0.113047386	0.099480841
